# 2017-08-30T14:39:08.727097Z 9586 96501801721737
2 -3 2820 122676 22997 83213 -24902 -100976
2 -2 991 122713 21880 84158 -23459 -101652
2 -2 -841 122736 20788 85060 -22023 -102293
2 -2 -2634 122736 19677 85929 -20588 -102907
2 -2 -4356 122694 18526 86798 -19169 -103491
3 -2 -6128 122615 17457 87623 -17760 -104042
3 -2 -7844 122560 16376 88385 -16372 -104567
3 -2 -9459 122465 15274 89150 -15018 -105063
3 -1 -11037 122326 14218 89893 -13703 -105524
3 -1 -12536 122202 13181 90585 -12443 -105963
3 -1 -13926 122053 12154 91280 -11246 -106374
3 -1 -15272 121911 11224 91922 -10110 -106760
3 -1 -16541 121747 10367 92546 -9032 -107122
3 0 -17674 121595 9499 93149 -8027 -107460
3 -1 -18729 121443 8722 93729 -7114 -107777
2 0 -19724 121315 8035 94263 -6267 -108080
1 -1 -20609 121186 7392 94794 -5499 -108370
1 -1 -21429 121055 6834 95308 -4808 -108648
3 0 -22112 120930 6291 95816 -4184 -108914
2 0 -22736 120827 5809 96298 -3627 -109168
1 0 -23311 120740 5401 96761 -3133 -109415
1 0 -23817 120656 5053 97217 -2698 -109653
1 -1 -24199 120582 4696 97679 -2323 -109884
2 0 -24532 120507 4409 98135 -2006 -110111
2 0 -24870 120454 4239 98554 -1746 -110333
2 -1 -25105 120429 4073 98955 -1542 -110547
2 -1 -25243 120401 3922 99370 -1391 -110753
1 -1 -25376 120381 3849 99771 -1280 -110957
0 -1 -25475 120380 3832 100149 -1219 -111161
0 -1 -25479 120387 3802 100530 -1197 -111360
1 -1 -25474 120396 3832 100903 -1213 -111553
1 -2 -25425 120420 3894 101265 -1266 -111743
1 -2 -25294 120450 3941 101633 -1353 -111925
1 -3 -25196 120478 4068 101989 -1463 -112106
0 -3 -25084 120513 4220 102330 -1595 -112284
2 -2 -24921 120553 4358 102672 -1743 -112458
2 -3 -24736 120602 4513 103000 -1916 -112629
3 -2 -24538 120650 4685 103323 -2101 -112796
3 -1 -24343 120699 4900 103638 -2304 -112958
2 -2 -24131 120753 5134 103945 -2526 -113118
2 -2 -23875 120804 5374 104250 -2774 -113272
2 -2 -23571 120871 5644 104540 -3058 -113421
2 -2 -23206 120953 5928 104822 -3385 -113569
3 -1 -22828 121021 6288 105111 -3754 -113714
3 -1 -22387 121106 6681 105381 -4169 -113850
3 -1 -21884 121210 7121 105641 -4645 -113980
2 -2 -21322 121326 7624 105885 -5180 -114103
2 -1 -20693 121445 8187 106117 -5774 -114215
3 -1 -19986 121564 8799 106346 -6427 -114315
3 -2 -19249 121682 9518 106562 -7157 -114409
3 -1 -18410 121808 10282 106758 -7964 -114491
2 -1 -17468 121947 11078 106939 -8831 -114559
3 -1 -16490 122091 11949 107103 -9756 -114613
3 0 -15472 122253 12885 107223 -10737 -114651
2 -1 -14381 122380 13865 107360 -11767 -114678
1 0 -13234 122509 14895 107467 -12852 -114690
3 0 -12043 122634 15969 107554 -13981 -114678
2 -1 -10820 122753 17071 107626 -15134 -114654
1 -1 -9573 122882 18210 107652 -16323 -114609
1 0 -8240 122978 19342 107686 -17550 -114544
1 0 -6961 123052 20585 107692 -18801 -114457
0 0 -5610 123134 21812 107664 -20077 -114356
0 -1 -4226 123201 23064 107618 -21379 -114232
1 -1 -2830 123257 24356 107541 -22706 -114085
1 -1 -1411 123275 25642 107468 -24046 -113920
1 -1 31 123282 26923 107366 -25391 -113737
1 -1 1487 123276 28223 107235 -26746 -113531
1 -1 2963 123247 29522 107093 -28107 -113309
1 -2 4396 123197 30862 106924 -29467 -113066
0 -2 5862 123150 32179 106726 -30836 -112799
1 -1 7382 123080 33446 106525 -32200 -112516
1 -2 8821 122984 34791 106292 -33567 -112215
1 -3 10265 122878 36151 106018 -34939 -111891
0 -2 11736 122754 37479 105740 -36305 -111548
0 -2 13208 122615 38800 105450 -37667 -111187
1 -2 14704 122452 40097 105145 -39027 -110809
1 -2 16183 122260 41416 104817 -40390 -110413
0 -3 17648 122062 42740 104459 -41746 -109998
1 -3 19109 121854 44049 104080 -43091 -109571
2 -3 20563 121637 45359 103668 -44431 -109120
2 -3 22052 121357 46644 103290 -45772 -108651
3 -2 23530 121069 47922 102877 -47108 -108167
3 -2 24945 120804 49252 102397 -48435 -107665
2 -2 26390 120514 50558 101917 -49759 -107142
2 -2 27840 120186 51843 101444 -51076 -106605
2 -2 29291 119838 53094 100961 -52372 -106054
2 -2 30698 119491 54348 100448 -53651 -105494
3 -2 32096 119136 55587 99914 -54922 -104918
1 -2 33496 118725 56823 99396 -56178 -104330
2 -2 34899 118321 58020 98857 -57418 -103730
2 -2 36270 117917 59217 98304 -58645 -103120
2 -1 37604 117513 60431 97707 -59865 -102493
2 -1 38979 117058 61596 97135 -61072 -101856
2 -1 40308 116596 62785 96521 -62273 -101201
1 0 41655 116151 63960 95864 -63476 -100526
1 -1 43017 115680 65119 95205 -64672 -99837
1 0 44359 115144 66308 94565 -65867 -99125
1 -1 45666 114635 67480 93868 -67047 -98405
1 0 47001 114096 68609 93182 -68208 -97675
0 0 48330 113541 69722 92500 -69352 -96937
0 -1 49596 113002 70847 91778 -70480 -96191
0 -1 50825 112457 71954 91049 -71580 -95443
0 -2 52081 111881 73007 90347 -72662 -94689
-1 -2 53340 111289 74020 89649 -73728 -93931
0 -2 54537 110701 75044 88931 -74768 -93175
0 -2 55682 110140 76082 88166 -75787 -92417
0 -2 56805 109588 77095 87393 -76789 -91653
1 -3 57969 108975 78048 86690 -77771 -90891
0 -3 59140 108365 78975 85967 -78744 -90118
0 -3 60242 107740 79951 85207 -79707 -89329
0 -2 61348 107109 80913 84432 -80669 -88528
0 -2 62487 106453 81862 83644 -81636 -87709
1 -3 63620 105800 82818 82808 -82603 -86864
0 -4 64792 105087 83767 81978 -83570 -85990
0 -4 65962 104329 84728 81139 -84554 -85085
1 -3 67121 103577 85713 80226 -85542 -84150
0 -3 68278 102845 86723 79234 -86533 -83190
-1 -4 69477 102059 87708 78252 -87535 -82203
-1 -4 70710 101190 88658 77310 -88529 -81191
1 -3 71896 100361 89627 76300 -89512 -80165
1 -3 73079 99523 90567 75273 -90481 -79127
1 -4 74249 98651 91504 74254 -91435 -78080
1 -3 75395 97758 92426 73247 -92366 -77038
2 -3 76538 96861 93300 72260 -93268 -75997
2 -3 77630 96000 94174 71238 -94153 -74958
2 -2 78685 95171 95010 70208 -95003 -73934
1 -3 79707 94304 95822 69226 -95826 -72924
1 -3 80716 93437 96614 68245 -96632 -71913
1 -3 81697 92584 97404 67240 -97420 -70901
1 -3 82681 91741 98155 66219 -98193 -69888
1 -3 82341 89547 100416 66167 -98940 -68854
0 -3 89169 94530 94355 60821 -99733 -67825
1 -2 46188 49323 146178 92354 -100271 -66606
0 0 -2238 -79 201415 125245 -99459 -64628
0 0 3546 5717 192122 117052 -98207 -62656
0 -1 2252 4313 191016 114771 -96892 -60961
0 0 2228 4226 188124 112039 -95435 -59523
0 0 2192 4151 184953 109886 -93827 -58382
0 -1 2145 4085 181511 108332 -92065 -57550
0 1 2086 4025 177777 107388 -90150 -57030
-2 0 2013 3974 173734 107051 -88074 -56827
-1 0 1932 3930 169373 107310 -85829 -56919
-1 0 1837 3894 164683 108118 -83404 -57287
-1 0 1728 3862 159654 109443 -80806 -57911
-1 -1 1607 3834 154267 111229 -78018 -58769
-1 0 1477 3809 148522 113398 -75038 -59827
-1 -1 1333 3788 142412 115882 -71871 -61041
-1 -1 1180 3765 135936 118588 -68514 -62361
-1 -1 1020 3742 129103 121437 -64975 -63747
-1 -1 854 3714 121929 124343 -61255 -65166
-2 -1 682 3682 114437 127211 -57375 -66553
0 -1 506 3645 106668 129946 -53353 -67874
0 -2 327 3601 98656 132487 -49208 -69094
-1 -2 148 3549 90460 134752 -44976 -70168
-1 -2 -30 3489 82126 136693 -40673 -71072
1 -2 -205 3421 73687 138275 -36322 -71791
0 -1 -378 3346 65162 139472 -31932 -72317
-1 -2 -546 3261 56579 140276 -27512 -72632
0 -3 -711 3170 47954 140665 -23081 -72739
0 -1 -872 3070 39279 140634 -18624 -72629
0 -2 -1029 2960 30579 140173 -14162 -72297
1 -1 -1179 2844 21883 139256 -9709 -71727
0 -1 -1324 2718 13212 137868 -5270 -70921
1 -1 -1463 2584 4594 136002 -866 -69870
2 -1 -1593 2443 -3932 133646 3486 -68566
1 -1 -1716 2294 -12306 130786 7754 -67007
1 -1 -1830 2138 -20488 127435 11919 -65192
1 0 -1933 1976 -28429 123590 15951 -63134
1 -2 -2026 1809 -36087 119262 19836 -60827
1 1 -2107 1637 -43415 114469 23547 -58286
1 0 -2177 1460 -50377 109234 27062 -55519
1 -1 -2235 1279 -56919 103579 30357 -52545
0 0 -2279 1100 -63005 97540 33414 -49376
0 0 -2309 918 -68610 91160 36222 -46040
-1 1 -2330 735 -73709 84461 38767 -42546
0 0 -2334 554 -78285 77478 41037 -38909
0 1 -2328 373 -82320 70243 43031 -35153
-1 0 -2307 195 -85803 62793 44733 -31290
0 0 -2274 20 -88713 55170 46141 -27345
-1 0 -2229 -151 -91032 47416 47253 -23337
-1 1 -2172 -316 -92751 39576 48046 -19297
-1 0 -2103 -474 -93878 31689 48531 -15234
-1 0 -2022 -627 -94400 23787 48713 -11173
0 0 -1931 -773 -94317 15911 48586 -7134
0 1 -1829 -910 -93625 8098 48149 -3131
-1 0 -1718 -1037 -92328 392 47398 814
-1 0 -1595 -1155 -90432 -7154 46340 4660
-1 0 -1467 -1262 -87945 -14481 44978 8397
-1 1 -1330 -1359 -84884 -21532 43331 11979
-2 0 -1186 -1443 -81271 -28246 41402 15386
-1 1 -1038 -1513 -77147 -34570 39216 18585
-1 0 -887 -1569 -72546 -40438 36791 21549
-1 -1 -733 -1612 -67531 -45807 34158 24250
-1 -1 -579 -1640 -62170 -50642 31349 26667
-1 -1 -425 -1655 -56512 -54895 28398 28788
-1 -2 -274 -1658 -50625 -58553 25337 30605
-2 -2 -129 -1644 -44578 -61620 22200 32112
0 -2 14 -1621 -38424 -64090 19016 33311
0 -2 150 -1586 -32219 -65971 15806 34209
0 -1 280 -1541 -26008 -67289 12604 34813
0 -1 403 -1485 -19838 -68052 9428 35129
0 -1 519 -1421 -13754 -68269 6302 35178
1 -1 627 -1348 -7776 -67980 3239 34960
1 -2 726 -1268 -1938 -67202 252 34499
1 -1 818 -1180 3739 -65947 -2650 33796
1 -1 901 -1086 9241 -64242 -5457 32856
0 -1 975 -986 14543 -62091 -8151 31694
0 0 1040 -881 19610 -59507 -10728 30311
1 -1 1095 -771 24414 -56513 -13157 28720
1 0 1139 -657 28919 -53121 -15432 26933
0 -1 1174 -539 33079 -49366 -17529 24956
0 0 1197 -421 36873 -45275 -19425 22813
0 0 1210 -302 40245 -40885 -21109 20520
-1 1 1212 -182 43176 -36243 -22557 18104
0 0 1201 -64 45630 -31398 -23761 15589
-1 1 1179 50 47587 -26400 -24711 13002
0 0 1148 162 49039 -21310 -25397 10377
0 0 1107 267 49978 -16187 -25828 7733
-1 0 1056 365 50415 -11076 -25990 5110
0 0 998 457 50352 -6045 -25902 2525
-1 0 933 542 49817 -1132 -25574 12
0 0 860 618 48828 3612 -25013 -2413
-1 0 782 685 47415 8157 -24235 -4730
0 0 701 743 45599 12466 -23255 -6919
0 -1 612 793 43409 16512 -22085 -8976
0 -1 524 834 40876 20272 -20748 -10873
0 0 433 865 38041 23719 -19254 -12616
0 -1 342 887 34929 26835 -17624 -14177
0 -1 248 900 31580 29593 -15869 -15557
0 -1 155 903 28025 31982 -14020 -16738
0 -1 64 897 24309 33979 -12086 -17724
0 -1 -23 884 20470 35583 -10100 -18500
0 -2 -109 861 16554 36780 -8075 -19070
1 -2 -190 832 12608 37578 -6041 -19430
0 -2 -266 794 8669 37966 -4016 -19583
1 -2 -337 751 4785 37960 -2022 -19538
1 -2 -402 701 985 37576 -78 -19297
1 -1 -461 645 -2683 36834 1796 -18877
2 -1 -513 586 -6196 35753 3586 -18283
2 -1 -559 522 -9524 34358 5278 -17530
1 -1 -596 458 -12639 32671 6857 -16630
2 -1 -627 390 -15515 30724 8310 -15597
2 0 -651 319 -18137 28540 9633 -14449
1 1 -666 250 -20493 26152 10816 -13197
1 0 -675 179 -22572 23588 11850 -11857
2 1 -677 111 -24358 20874 12737 -10445
2 1 -673 42 -25847 18037 13467 -8974
1 1 -662 -25 -27033 15108 14043 -7458
1 1 -644 -88 -27905 12118 14464 -5917
1 1 -621 -149 -28471 9103 14723 -4363
1 1 -591 -207 -28728 6094 14823 -2815
0 1 -557 -261 -28685 3123 14767 -1291
0 1 -518 -310 -28350 222 14561 197
0 1 -476 -353 -27735 -2579 14215 1626
-1 2 -430 -392 -26860 -5249 13735 2988
0 1 -382 -426 -25744 -7763 13133 4265
-1 0 -331 -452 -24410 -10105 12422 5452
-1 1 -281 -475 -22881 -12250 11616 6540
-1 0 -229 -491 -21189 -14195 10724 7516
-1 1 -176 -502 -19353 -15923 9761 8383
-1 0 -124 -507 -17399 -17427 8739 9131
-1 0 -73 -507 -15351 -18703 7673 9762
-1 0 -23 -502 -13233 -19753 6575 10275
-2 0 25 -492 -11069 -20571 5454 10671
-1 -1 72 -480 -8877 -21163 4323 10952
0 -1 115 -461 -6681 -21538 3191 11118
-1 0 157 -439 -4499 -21692 2071 11174
-1 0 193 -414 -2349 -21638 967 11124
0 0 228 -387 -250 -21384 -105 10969
-1 -1 260 -356 1780 -20934 -1143 10717
0 -1 288 -323 3726 -20304 -2135 10371
0 -1 313 -290 5572 -19500 -3071 9936
-1 -1 333 -253 7306 -18537 -3953 9425
0 -2 350 -216 8916 -17429 -4765 8838
0 -2 362 -177 10385 -16189 -5506 8184
0 -1 369 -139 11708 -14831 -6169 7474
1 -1 375 -100 12874 -13376 -6753 6715
2 -1 376 -61 13874 -11837 -7251 5916
1 -1 373 -24 14707 -10235 -7662 5086
1 -1 367 13 15371 -8588 -7986 4233
1 0 356 48 15856 -6915 -8217 3368
1 -1 343 82 16172 -5232 -8360 2501
1 -1 328 113 16319 -3561 -8417 1642
2 0 309 141 16301 -1913 -8388 796
1 0 289 167 16125 -307 -8279 -28
1 0 266 191 15801 1247 -8092 -820
3 0 242 212 15331 2731 -7834 -1577
1 1 216 229 14731 4132 -7513 -2289
1 1 189 245 14013 5441 -7129 -2951
1 1 161 258 13187 6649 -6694 -3560
1 1 133 267 12268 7746 -6213 -4117
0 1 105 273 11269 8729 -5692 -4611
0 2 77 277 10202 9596 -5135 -5045
0 3 48 277 9080 10339 -4553 -5416
0 2 21 274 7913 10963 -3948 -5724
0 2 -4 271 6717 11461 -3329 -5970
0 2 -29 265 5499 11833 -2700 -6151
-2 2 -52 256 4276 12087 -2069 -6266
-1 2 -76 245 3055 12221 -1441 -6321
-2 2 -97 233 1848 12238 -820 -6318
-1 2 -116 218 665 12141 -213 -6254
-2 3 -133 202 -483 11937 374 -6137
-3 1 -148 185 -1587 11631 939 -5969
-3 1 -163 167 -2637 11229 1473 -5749
-3 1 -174 147 -3626 10735 1976 -5485
-3 1 -184 128 -4548 10160 2442 -5180
-2 1 -192 109 -5398 9511 2871 -4839
-4 1 -197 88 -6166 8799 3260 -4465
-3 0 -200 68 -6854 8030 3604 -4063
-2 -2 -202 47 -7451 7215 3904 -3637
-3 -2 -203 27 -7961 6360 4157 -3195
-3 -2 -200 8 -8380 5478 4365 -2737
-2 -2 -195 -11 -8709 4577 4522 -2272
-2 -3 -189 -29 -8946 3665 4633 -1799
-3 -3 -183 -46 -9094 2749 4698 -1327
-1 -2 -174 -62 -9151 1840 4720 -860
-1 -2 -164 -76 -9122 947 4693 -402
-1 -3 -153 -90 -9013 73 4626 46
-1 -2 -142 -102 -8822 -768 4520 474
-1 -3 -129 -112 -8556 -1574 4374 886
0 -2 -115 -121 -8226 -2338 4195 1272
-1 -3 -101 -129 -7829 -3049 3984 1636
0 -2 -86 -136 -7379 -3712 3745 1968
0 -3 -72 -139 -6876 -4315 3480 2272
1 -2 -58 -143 -6329 -4860 3192 2544
0 -1 -44 -145 -5742 -5339 2886 2783
0 -2 -28 -145 -5124 -5754 2565 2988
1 -2 -15 -144 -4480 -6103 2232 3160
1 -1 0 -141 -3819 -6382 1892 3297
1 -2 12 -139 -3146 -6594 1545 3398
1 -1 24 -135 -2469 -6742 1195 3466
1 0 36 -128 -1790 -6823 848 3500
1 -1 47 -122 -1119 -6839 502 3501
1 -1 58 -115 -458 -6794 166 3470
1 -1 67 -106 185 -6688 -162 3410
1 0 74 -97 809 -6523 -478 3320
1 -1 82 -88 1402 -6305 -782 3200
1 1 89 -77 1965 -6033 -1067 3055
1 0 95 -66 2493 -5715 -1334 2887
0 0 98 -56 2981 -5351 -1580 2696
0 1 102 -46 3427 -4948 -1804 2483
0 0 104 -35 3827 -4508 -2004 2255
0 1 104 -24 4174 -4039 -2179 2010
0 0 104 -14 4472 -3545 -2325 1755
0 0 102 -2 4714 -3032 -2446 1490
0 0 100 8 4903 -2507 -2537 1220
0 1 97 16 5037 -1973 -2599 945
0 0 93 26 5116 -1438 -2633 670
0 0 89 35 5140 -907 -2641 398
0 0 83 42 5113 -385 -2622 129
0 -1 77 49 5035 123 -2574 -130
-1 0 71 56 4909 612 -2505 -379
0 0 63 61 4739 1078 -2412 -614
0 -1 55 66 4527 1518 -2299 -838
-1 0 48 70 4278 1927 -2166 -1043
1 0 39 73 3994 2302 -2016 -1232
0 0 31 76 3679 2641 -1851 -1400
-1 -1 24 77 3339 2941 -1673 -1550
0 -1 15 77 2979 3200 -1485 -1679
0 0 7 77 2598 3418 -1287 -1786
0 -1 0 76 2207 3593 -1086 -1872
0 0 -8 74 1805 3728 -879 -1936
0 0 -15 71 1399 3820 -670 -1980
0 0 -22 69 993 3871 -461 -2000
0 0 -28 65 589 3880 -254 -2000
0 0 -34 61 193 3850 -51 -1981
0 0 -39 56 -191 3782 145 -1940
0 1 -44 51 -563 3678 334 -1882
0 1 -47 46 -917 3538 512 -1807
-1 0 -52 39 -1247 3369 680 -1716
0 1 -54 34 -1553 3168 833 -1609
-1 0 -56 28 -1834 2942 973 -1489
0 1 -57 22 -2084 2693 1098 -1359
-1 1 -59 16 -2305 2424 1209 -1220
-1 1 -59 9 -2494 2140 1301 -1071
-1 0 -58 4 -2649 1843 1377 -918
-1 0 -58 -2 -2772 1538 1437 -761
-1 0 -56 -8 -2860 1228 1478 -601
-1 0 -53 -14 -2917 918 1503 -441
-2 0 -51 -18 -2941 607 1514 -283
-2 0 -48 -22 -2934 302 1507 -127
-2 0 -45 -27 -2897 5 1485 25
-1 -1 -40 -31 -2832 -281 1448 172
-1 -1 -37 -34 -2739 -554 1397 311
-1 -1 -33 -36 -2622 -812 1336 442
-1 -1 -28 -39 -2483 -1053 1260 563
-1 -2 -23 -41 -2323 -1273 1175 676
-1 -2 -19 -43 -2143 -1475 1083 776
-1 -3 -14 -43 -1949 -1654 981 866
-1 -3 -10 -43 -1741 -1810 873 946
0 -2 -5 -44 -1524 -1939 760 1011
-1 -2 -1 -43 -1297 -2045 643 1063
-1 -1 3 -41 -1067 -2127 524 1102
0 -2 7 -41 -834 -2184 404 1130
1 -2 11 -39 -601 -2215 283 1145
1 -2 14 -37 -371 -2225 164 1147
1 -2 18 -34 -146 -2210 47 1137
1 -2 21 -32 74 -2174 -66 1117
1 -1 24 -29 286 -2119 -176 1086
2 0 26 -26 487 -2043 -279 1044
2 0 28 -23 676 -1949 -377 993
2 0 29 -20 854 -1838 -469 935
2 0 31 -16 1017 -1713 -551 868
1 0 31 -12 1163 -1573 -625 793
1 1 32 -10 1293 -1423 -691 713
1 0 32 -5 1406 -1263 -747 628
1 0 31 -2 1501 -1094 -796 539
1 1 31 2 1577 -920 -833 448
0 1 30 4 1634 -740 -860 353
0 2 30 7 1671 -559 -877 258
0 2 28 10 1690 -378 -886 164
0 1 26 13 1692 -201 -885 71
0 1 23 15 1674 -27 -874 -20
-1 2 23 17 1639 144 -853 -107
-1 2 19 19 1589 306 -825 -190
-1 2 17 21 1522 458 -788 -269
-1 1 15 23 1444 600 -746 -343
-1 2 12 23 1352 732 -697 -409
-2 2 9 24 1250 850 -641 -470
-2 1 7 24 1139 956 -582 -525
-2 1 4 25 1020 1048 -518 -571
-2 1 2 24 895 1125 -452 -612
