# 2017-12-15T00:52:18.857691Z 26160 8357933117913
-15 -57 -113115 -52980 51717 107229 96530 114420
36 186 -113830 -52277 50851 107527 96440 114342
-44 -202 -114577 -51976 50118 107477 96372 114234
32 163 -114647 -52002 50088 107452 96342 114111
-6 -5 -114171 -51681 50354 107937 96346 113975
-28 -122 -114048 -51547 50389 108109 96389 113842
38 216 -113688 -51095 50486 108638 96469 113731
-42 -186 -113579 -51340 50655 108467 96568 113653
17 98 -113977 -50848 50112 108701 96678 113610
10 76 -114250 -50566 49774 108805 96795 113595
-35 -178 -114919 -50396 49159 108662 96903 113609
45 211 -114969 -50830 49314 108279 97003 113644
-28 -149 -115183 -50957 49203 108102 97094 113697
2 17 -114455 -51691 50123 107806 97175 113766
29 139 -114009 -51824 50546 107892 97246 113853
-42 -201 -113433 -51865 51028 108102 97297 113954
37 196 -113258 -51472 50988 108499 97316 114074
-16 -80 -113965 -50790 50103 108767 97303 114203
-16 -74 -113808 -50811 50241 108793 97252 114329
39 191 -114451 -50690 49665 108615 97166 114433
-43 -202 -114416 -51312 49968 108106 97052 114510
30 148 -114156 -52210 50574 107462 96925 114548
-1 6 -113875 -53022 51151 106913 96797 114549
-32 -133 -113353 -53526 51798 106729 96680 114516
42 212 -112644 -53600 52407 106971 96579 114454
-45 -180 -112312 -53232 52514 107413 96498 114371
13 87 -112742 -52752 51939 107625 96441 114282
15 87 -112525 -52677 52082 107756 96402 114183
-41 -183 -113070 -52331 51489 107798 96379 114077
42 214 -113594 -52904 51303 107093 96382 113966
-30 -131 -113589 -53560 51599 106552 96411 113856
-1 4 -113500 -53859 51811 106358 96469 113753
28 160 -113107 -53429 51967 106897 96557 113661
-46 -199 -112700 -54177 52602 106450 96669 113592
34 193 -112032 -54370 53226 106574 96802 113562
-16 -68 -111302 -54606 53909 106667 96937 113572
-18 -84 -111212 -54935 54104 106406 97059 113617
39 192 -110753 -55992 54927 105682 97164 113698
-41 -202 -110646 -56993 55433 104873 97236 113806
27 139 -110710 -57654 55675 104290 97278 113918
5 14 -110227 -58955 56638 103407 97293 114033
-31 -143 -109523 -59738 57555 103055 97282 114143
42 213 -108775 -60384 58443 102837 97251 114244
-38 -176 -107811 -60992 59482 102733 97195 114336
9 72 -107113 -61950 60440 102215 97125 114413
16 94 -106511 -62469 61139 102015 97035 114485
-43 -187 -106047 -63176 61811 101583 96925 114528
40 208 -105920 -64404 62428 100585 96803 114546
-28 -122 -105643 -65617 63174 99671 96673 114528
-6 -16 -105114 -66908 64162 98810 96551 114472
32 162 -105002 -67663 64581 98239 96453 114381
-47 -201 -103712 -68883 66168 97768 96391 114267
34 184 -102978 -69505 67021 97562 96356 114137
-18 -47 -102295 -69875 67728 97534 96364 114008
-24 -91 -102132 -70119 67946 97388 96404 113891
37 202 -101850 -69804 68039 97752 96463 113797
-47 -197 -102436 -69570 67453 97677 96538 113715
24 132 -102680 -70437 67620 96842 96622 113661
1 35 -102827 -70544 67562 96692 96720 113623
-34 -151 -102446 -71350 68228 96184 96823 113604
39 224 -102023 -72284 68974 95594 96933 113605
-36 -175 -101197 -72650 69813 95648 97050 113638
9 57 -101037 -72240 69758 96068 97155 113694
19 107 -101023 -71399 69405 96783 97247 113788
-43 -193 -101813 -70016 68157 97600 97307 113901
41 204 -102607 -68893 67028 98194 97335 114031
-25 -114 -103485 -68389 66094 98239 97320 114166
-7 -32 -104469 -67183 64795 98843 97269 114290
